participant_id,section,index,question,answer,pp,DoC
P26,2-3,12,I would rather run my own business and make my own mistakes than listen to someone else's orders.,2,P26,2.0
P26,2-3,13,I like to get a good idea of what a job is all about before I begin.,3,P26,3.0
P26,2-3,14,When I see a problem I prefer to do something about it rather than sit by and let it continue.,4,P26,4.0
P26,2-3,15,When it comes to orders I would rather give them than receive them.,2,P26,2.0
P26,2-3,16,I wish I could push many of life's daily decisions off on someone else.,5,P26,5.0
P26,2-3,17,When driving I try to avoid putting myself in a situation where I could be hurt by another person's mistake.,5,P26,5.0
P26,2-3,18,I prefer to avoid situations where someone else has to tell me what it is I should be doing.,4,P26,4.0
P26,2-3,19,There are many situations in which I would prefer only one choice rather than having to make a decision.,7-always applies,P26,7.0
P26,2-3,20,I like to wait and see if someone else is going to solve a problem so that I do not have to be bothered with it.,5,P26,5.0
P21,2-3,1,I prefer a job where I have a lot of control over what I do and when I do it.,6,P21,6.0
P21,2-3,2,I enjoy political participation because I want to have as much of a say in running government as possible.,3,P21,3.0
P21,2-3,3,I try to avoid situations where someone else tells me what to do.,4,P21,4.0
P21,2-3,4,I would prefer to be a leader than a follower.,4,P21,4.0
P21,2-3,5,I enjoy being able to influence the actions of others.,5,P21,5.0
P21,2-3,6,I am careful to check everything on an automobile before I leave for a long trip.,7-always applies,P21,7.0
P21,2-3,7,Others usually know what is best for me.,4,P21,4.0
P21,2-3,8,I enjoy making my own decisions.,6,P21,6.0
P21,2-3,9,I enjoy having control over my own destiny.,6,P21,6.0
P21,2-3,10,I would rather someone else take over the leadership role when I am involved in a group project.,4,P21,4.0
P21,2-3,11,I consider myself to be generally more capable of handling situations than others are.,5,P21,5.0
P21,2-3,12,I would rather run my own business and make my own mistakes than listen to someone else's orders.,7-always applies,P21,7.0
P21,2-3,13,I like to get a good idea of what a job is all about before I begin.,7-always applies,P21,7.0
P21,2-3,14,When I see a problem I prefer to do something about it rather than sit by and let it continue.,6,P21,6.0
P21,2-3,15,When it comes to orders I would rather give them than receive them.,4,P21,4.0
P21,2-3,16,I wish I could push many of life's daily decisions off on someone else.,1-does not apply at all,P21,1.0
P21,2-3,17,When driving I try to avoid putting myself in a situation where I could be hurt by another person's mistake.,6,P21,6.0
P21,2-3,18,I prefer to avoid situations where someone else has to tell me what it is I should be doing.,4,P21,4.0
P21,2-3,19,There are many situations in which I would prefer only one choice rather than having to make a decision.,5,P21,5.0
P21,2-3,20,I like to wait and see if someone else is going to solve a problem so that I do not have to be bothered with it.,3,P21,3.0
P28,2-3,1,I prefer a job where I have a lot of control over what I do and when I do it.,6,P28,6.0
P28,2-3,2,I enjoy political participation because I want to have as much of a say in running government as possible.,1-does not apply at all,P28,1.0
P28,2-3,3,I try to avoid situations where someone else tells me what to do.,6,P28,6.0
P28,2-3,4,I would prefer to be a leader than a follower.,6,P28,6.0
P28,2-3,5,I enjoy being able to influence the actions of others.,5,P28,5.0
P28,2-3,6,I am careful to check everything on an automobile before I leave for a long trip.,7-always applies,P28,7.0
P28,2-3,7,Others usually know what is best for me.,2,P28,2.0
P28,2-3,8,I enjoy making my own decisions.,7-always applies,P28,7.0
P28,2-3,9,I enjoy having control over my own destiny.,7-always applies,P28,7.0
P28,2-3,10,I would rather someone else take over the leadership role when I am involved in a group project.,2,P28,2.0
P28,2-3,11,I consider myself to be generally more capable of handling situations than others are.,2,P28,2.0
P28,2-3,12,I would rather run my own business and make my own mistakes than listen to someone else's orders.,5,P28,5.0
P28,2-3,13,I like to get a good idea of what a job is all about before I begin.,6,P28,6.0
P28,2-3,14,When I see a problem I prefer to do something about it rather than sit by and let it continue.,7-always applies,P28,7.0
P28,2-3,15,When it comes to orders I would rather give them than receive them.,4,P28,4.0
P28,2-3,16,I wish I could push many of life's daily decisions off on someone else.,2,P28,2.0
P28,2-3,17,When driving I try to avoid putting myself in a situation where I could be hurt by another person's mistake.,7-always applies,P28,7.0
P28,2-3,18,I prefer to avoid situations where someone else has to tell me what it is I should be doing.,6,P28,6.0
P28,2-3,19,There are many situations in which I would prefer only one choice rather than having to make a decision.,2,P28,2.0
P28,2-3,20,I like to wait and see if someone else is going to solve a problem so that I do not have to be bothered with it.,4,P28,4.0
P17,2-3,1,I prefer a job where I have a lot of control over what I do and when I do it.,7-always applies,P17,7.0
P17,2-3,2,I enjoy political participation because I want to have as much of a say in running government as possible.,1-does not apply at all,P17,1.0
P17,2-3,3,I try to avoid situations where someone else tells me what to do.,6,P17,6.0
P17,2-3,4,I would prefer to be a leader than a follower.,7-always applies,P17,7.0
P17,2-3,5,I enjoy being able to influence the actions of others.,7-always applies,P17,7.0
P17,2-3,6,I am careful to check everything on an automobile before I leave for a long trip.,2,P17,2.0
P17,2-3,7,Others usually know what is best for me.,1-does not apply at all,P17,1.0
P17,2-3,8,I enjoy making my own decisions.,7-always applies,P17,7.0
P17,2-3,9,I enjoy having control over my own destiny.,7-always applies,P17,7.0
P17,2-3,10,I would rather someone else take over the leadership role when I am involved in a group project.,2,P17,2.0
P17,2-3,11,I consider myself to be generally more capable of handling situations than others are.,4,P17,4.0
P17,2-3,12,I would rather run my own business and make my own mistakes than listen to someone else's orders.,5,P17,5.0
P17,2-3,13,I like to get a good idea of what a job is all about before I begin.,7-always applies,P17,7.0
P17,2-3,14,When I see a problem I prefer to do something about it rather than sit by and let it continue.,7-always applies,P17,7.0
P17,2-3,15,When it comes to orders I would rather give them than receive them.,7-always applies,P17,7.0
P17,2-3,16,I wish I could push many of life's daily decisions off on someone else.,1-does not apply at all,P17,1.0
P17,2-3,17,When driving I try to avoid putting myself in a situation where I could be hurt by another person's mistake.,5,P17,5.0
P17,2-3,18,I prefer to avoid situations where someone else has to tell me what it is I should be doing.,6,P17,6.0
P17,2-3,19,There are many situations in which I would prefer only one choice rather than having to make a decision.,3,P17,3.0
P17,2-3,20,I like to wait and see if someone else is going to solve a problem so that I do not have to be bothered with it.,2,P17,2.0
P10,2-3,1,I prefer a job where I have a lot of control over what I do and when I do it.,7-always applies,P10,7.0
P10,2-3,2,I enjoy political participation because I want to have as much of a say in running government as possible.,5,P10,5.0
P10,2-3,3,I try to avoid situations where someone else tells me what to do.,6,P10,6.0
P10,2-3,4,I would prefer to be a leader than a follower.,6,P10,6.0
P10,2-3,5,I enjoy being able to influence the actions of others.,4,P10,4.0
P10,2-3,6,I am careful to check everything on an automobile before I leave for a long trip.,2,P10,2.0
P10,2-3,7,Others usually know what is best for me.,2,P10,2.0
P10,2-3,8,I enjoy making my own decisions.,6,P10,6.0
P10,2-3,9,I enjoy having control over my own destiny.,5,P10,5.0
P10,2-3,10,I would rather someone else take over the leadership role when I am involved in a group project.,2,P10,2.0
P10,2-3,11,I consider myself to be generally more capable of handling situations than others are.,4,P10,4.0
P10,2-3,12,I would rather run my own business and make my own mistakes than listen to someone else's orders.,5,P10,5.0
P10,2-3,13,I like to get a good idea of what a job is all about before I begin.,6,P10,6.0
P10,2-3,14,When I see a problem I prefer to do something about it rather than sit by and let it continue.,5,P10,5.0
P10,2-3,15,When it comes to orders I would rather give them than receive them.,5,P10,5.0
P10,2-3,16,I wish I could push many of life's daily decisions off on someone else.,6,P10,6.0
P10,2-3,17,When driving I try to avoid putting myself in a situation where I could be hurt by another person's mistake.,3,P10,3.0
P10,2-3,18,I prefer to avoid situations where someone else has to tell me what it is I should be doing.,6,P10,6.0
P10,2-3,19,There are many situations in which I would prefer only one choice rather than having to make a decision.,5,P10,5.0
P10,2-3,20,I like to wait and see if someone else is going to solve a problem so that I do not have to be bothered with it.,5,P10,5.0
P11,2-3,1,I prefer a job where I have a lot of control over what I do and when I do it.,5,P11,5.0
P11,2-3,2,I enjoy political participation because I want to have as much of a say in running government as possible.,4,P11,4.0
P11,2-3,3,I try to avoid situations where someone else tells me what to do.,4,P11,4.0
P11,2-3,4,I would prefer to be a leader than a follower.,4,P11,4.0
P11,2-3,5,I enjoy being able to influence the actions of others.,4,P11,4.0
P11,2-3,6,I am careful to check everything on an automobile before I leave for a long trip.,5,P11,5.0
P11,2-3,7,Others usually know what is best for me.,2,P11,2.0
P11,2-3,8,I enjoy making my own decisions.,6,P11,6.0
P11,2-3,9,I enjoy having control over my own destiny.,6,P11,6.0
P11,2-3,10,I would rather someone else take over the leadership role when I am involved in a group project.,4,P11,4.0
P11,2-3,11,I consider myself to be generally more capable of handling situations than others are.,5,P11,5.0
P11,2-3,12,I would rather run my own business and make my own mistakes than listen to someone else's orders.,4,P11,4.0
P11,2-3,13,I like to get a good idea of what a job is all about before I begin.,5,P11,5.0
P11,2-3,14,When I see a problem I prefer to do something about it rather than sit by and let it continue.,6,P11,6.0
P11,2-3,15,When it comes to orders I would rather give them than receive them.,4,P11,4.0
P11,2-3,16,I wish I could push many of life's daily decisions off on someone else.,4,P11,4.0
P11,2-3,17,When driving I try to avoid putting myself in a situation where I could be hurt by another person's mistake.,4,P11,4.0
P11,2-3,18,I prefer to avoid situations where someone else has to tell me what it is I should be doing.,3,P11,3.0
P11,2-3,19,There are many situations in which I would prefer only one choice rather than having to make a decision.,2,P11,2.0
P11,2-3,20,I like to wait and see if someone else is going to solve a problem so that I do not have to be bothered with it.,2,P11,2.0
29,2-3,1,I prefer a job where I have a lot of control over what I do and when I do it.,6,P29,6.0
29,2-3,2,I enjoy political participation because I want to have as much of a say in running government as possible.,2,P29,2.0
29,2-3,3,I try to avoid situations where someone else tells me what to do.,4,P29,4.0
29,2-3,4,I would prefer to be a leader than a follower.,4,P29,4.0
29,2-3,5,I enjoy being able to influence the actions of others.,2,P29,2.0
29,2-3,6,I am careful to check everything on an automobile before I leave for a long trip.,2,P29,2.0
29,2-3,7,Others usually know what is best for me.,1-does not apply at all,P29,1.0
29,2-3,8,I enjoy making my own decisions.,6,P29,6.0
29,2-3,9,I enjoy having control over my own destiny.,6,P29,6.0
29,2-3,10,I would rather someone else take over the leadership role when I am involved in a group project.,4,P29,4.0
29,2-3,11,I consider myself to be generally more capable of handling situations than others are.,6,P29,6.0
29,2-3,12,I would rather run my own business and make my own mistakes than listen to someone else's orders.,4,P29,4.0
29,2-3,13,I like to get a good idea of what a job is all about before I begin.,6,P29,6.0
29,2-3,14,When I see a problem I prefer to do something about it rather than sit by and let it continue.,4,P29,4.0
29,2-3,15,When it comes to orders I would rather give them than receive them.,4,P29,4.0
29,2-3,16,I wish I could push many of life's daily decisions off on someone else.,1-does not apply at all,P29,1.0
29,2-3,17,When driving I try to avoid putting myself in a situation where I could be hurt by another person's mistake.,5,P29,5.0
29,2-3,18,I prefer to avoid situations where someone else has to tell me what it is I should be doing.,5,P29,5.0
29,2-3,19,There are many situations in which I would prefer only one choice rather than having to make a decision.,2,P29,2.0
29,2-3,20,I like to wait and see if someone else is going to solve a problem so that I do not have to be bothered with it.,2,P29,2.0
P16,2-3,1,I prefer a job where I have a lot of control over what I do and when I do it.,7-always applies,P16,7.0
P16,2-3,2,I enjoy political participation because I want to have as much of a say in running government as possible.,1-does not apply at all,P16,1.0
P16,2-3,3,I try to avoid situations where someone else tells me what to do.,7-always applies,P16,7.0
P16,2-3,4,I would prefer to be a leader than a follower.,7-always applies,P16,7.0
P16,2-3,5,I enjoy being able to influence the actions of others.,7-always applies,P16,7.0
P16,2-3,6,I am careful to check everything on an automobile before I leave for a long trip.,7-always applies,P16,7.0
P16,2-3,7,Others usually know what is best for me.,2,P16,2.0
P16,2-3,8,I enjoy making my own decisions.,5,P16,5.0
P16,2-3,9,I enjoy having control over my own destiny.,7-always applies,P16,7.0
P16,2-3,10,I would rather someone else take over the leadership role when I am involved in a group project.,3,P16,3.0
P16,2-3,11,I consider myself to be generally more capable of handling situations than others are.,7-always applies,P16,7.0
P16,2-3,12,I would rather run my own business and make my own mistakes than listen to someone else's orders.,7-always applies,P16,7.0
P16,2-3,13,I like to get a good idea of what a job is all about before I begin.,7-always applies,P16,7.0
P16,2-3,14,When I see a problem I prefer to do something about it rather than sit by and let it continue.,6,P16,6.0
P16,2-3,15,When it comes to orders I would rather give them than receive them.,7-always applies,P16,7.0
P16,2-3,16,I wish I could push many of life's daily decisions off on someone else.,3,P16,3.0
P16,2-3,17,When driving I try to avoid putting myself in a situation where I could be hurt by another person's mistake.,6,P16,6.0
P16,2-3,18,I prefer to avoid situations where someone else has to tell me what it is I should be doing.,7-always applies,P16,7.0
P16,2-3,19,There are many situations in which I would prefer only one choice rather than having to make a decision.,3,P16,3.0
P16,2-3,20,I like to wait and see if someone else is going to solve a problem so that I do not have to be bothered with it.,3,P16,3.0
P18,2-3,1,I prefer a job where I have a lot of control over what I do and when I do it.,5,P18,5.0
P18,2-3,2,I enjoy political participation because I want to have as much of a say in running government as possible.,7-always applies,P18,7.0
P18,2-3,3,I try to avoid situations where someone else tells me what to do.,3,P18,3.0
P18,2-3,4,I would prefer to be a leader than a follower.,2,P18,2.0
P18,2-3,5,I enjoy being able to influence the actions of others.,3,P18,3.0
P18,2-3,6,I am careful to check everything on an automobile before I leave for a long trip.,1-does not apply at all,P18,1.0
P18,2-3,7,Others usually know what is best for me.,1-does not apply at all,P18,1.0
P18,2-3,8,I enjoy making my own decisions.,5,P18,5.0
P18,2-3,9,I enjoy having control over my own destiny.,7-always applies,P18,7.0
P18,2-3,10,I would rather someone else take over the leadership role when I am involved in a group project.,6,P18,6.0
P18,2-3,11,I consider myself to be generally more capable of handling situations than others are.,4,P18,4.0
P18,2-3,12,I would rather run my own business and make my own mistakes than listen to someone else's orders.,6,P18,6.0
P18,2-3,13,I like to get a good idea of what a job is all about before I begin.,3,P18,3.0
P18,2-3,14,When I see a problem I prefer to do something about it rather than sit by and let it continue.,7-always applies,P18,7.0
P18,2-3,15,When it comes to orders I would rather give them than receive them.,2,P18,2.0
P18,2-3,16,I wish I could push many of life's daily decisions off on someone else.,5,P18,5.0
P18,2-3,17,When driving I try to avoid putting myself in a situation where I could be hurt by another person's mistake.,7-always applies,P18,7.0
P18,2-3,18,I prefer to avoid situations where someone else has to tell me what it is I should be doing.,1-does not apply at all,P18,1.0
P18,2-3,19,There are many situations in which I would prefer only one choice rather than having to make a decision.,5,P18,5.0
P18,2-3,20,I like to wait and see if someone else is going to solve a problem so that I do not have to be bothered with it.,3,P18,3.0
P11,2-3,1,I prefer a job where I have a lot of control over what I do and when I do it.,2,P27,2.0
P11,2-3,2,I enjoy political participation because I want to have as much of a say in running government as possible.,1-does not apply at all,P27,1.0
P11,2-3,3,I try to avoid situations where someone else tells me what to do.,2,P27,2.0
P11,2-3,4,I would prefer to be a leader than a follower.,4,P27,4.0
P11,2-3,5,I enjoy being able to influence the actions of others.,4,P27,4.0
P11,2-3,6,I am careful to check everything on an automobile before I leave for a long trip.,5,P27,5.0
P11,2-3,7,Others usually know what is best for me.,1-does not apply at all,P27,1.0
P11,2-3,8,I enjoy making my own decisions.,7-always applies,P27,7.0
P11,2-3,9,I enjoy having control over my own destiny.,3,P27,3.0
P11,2-3,10,I would rather someone else take over the leadership role when I am involved in a group project.,1-does not apply at all,P27,1.0
P11,2-3,11,I consider myself to be generally more capable of handling situations than others are.,3,P27,3.0
P11,2-3,12,I would rather run my own business and make my own mistakes than listen to someone else's orders.,5,P27,5.0
P11,2-3,13,I like to get a good idea of what a job is all about before I begin.,7-always applies,P27,7.0
P11,2-3,14,When I see a problem I prefer to do something about it rather than sit by and let it continue.,7-always applies,P27,7.0
P11,2-3,15,When it comes to orders I would rather give them than receive them.,1-does not apply at all,P27,1.0
P11,2-3,16,I wish I could push many of life's daily decisions off on someone else.,1-does not apply at all,P27,1.0
P11,2-3,17,When driving I try to avoid putting myself in a situation where I could be hurt by another person's mistake.,6,P27,6.0
P11,2-3,18,I prefer to avoid situations where someone else has to tell me what it is I should be doing.,3,P27,3.0
P11,2-3,19,There are many situations in which I would prefer only one choice rather than having to make a decision.,1-does not apply at all,P27,1.0
P11,2-3,20,I like to wait and see if someone else is going to solve a problem so that I do not have to be bothered with it.,2,P27,2.0
P05,2-3,1,I prefer a job where I have a lot of control over what I do and when I do it.,7-always applies,P05,7.0
P05,2-3,2,I enjoy political participation because I want to have as much of a say in running government as possible.,5,P05,5.0
P05,2-3,3,I try to avoid situations where someone else tells me what to do.,5,P05,5.0
P05,2-3,4,I would prefer to be a leader than a follower.,7-always applies,P05,7.0
P05,2-3,5,I enjoy being able to influence the actions of others.,7-always applies,P05,7.0
P05,2-3,6,I am careful to check everything on an automobile before I leave for a long trip.,7-always applies,P05,7.0
P05,2-3,7,Others usually know what is best for me.,3,P05,3.0
P05,2-3,8,I enjoy making my own decisions.,6,P05,6.0
P05,2-3,9,I enjoy having control over my own destiny.,6,P05,6.0
P05,2-3,10,I would rather someone else take over the leadership role when I am involved in a group project.,3,P05,3.0
P05,2-3,11,I consider myself to be generally more capable of handling situations than others are.,3,P05,3.0
P05,2-3,12,I would rather run my own business and make my own mistakes than listen to someone else's orders.,4,P05,4.0
P05,2-3,13,I like to get a good idea of what a job is all about before I begin.,4,P05,4.0
P05,2-3,14,When I see a problem I prefer to do something about it rather than sit by and let it continue.,4,P05,4.0
P05,2-3,15,When it comes to orders I would rather give them than receive them.,3,P05,3.0
P05,2-3,16,I wish I could push many of life's daily decisions off on someone else.,1-does not apply at all,P05,1.0
P05,2-3,17,When driving I try to avoid putting myself in a situation where I could be hurt by another person's mistake.,7-always applies,P05,7.0
P05,2-3,18,I prefer to avoid situations where someone else has to tell me what it is I should be doing.,4,P05,4.0
P05,2-3,19,There are many situations in which I would prefer only one choice rather than having to make a decision.,3,P05,3.0
P05,2-3,20,I like to wait and see if someone else is going to solve a problem so that I do not have to be bothered with it.,2,P05,2.0
P02,2-3,1,I prefer a job where I have a lot of control over what I do and when I do it.,5,P02,5.0
P02,2-3,2,I enjoy political participation because I want to have as much of a say in running government as possible.,5,P02,5.0
P02,2-3,3,I try to avoid situations where someone else tells me what to do.,5,P02,5.0
P02,2-3,4,I would prefer to be a leader than a follower.,5,P02,5.0
P02,2-3,5,I enjoy being able to influence the actions of others.,5,P02,5.0
P02,2-3,6,I am careful to check everything on an automobile before I leave for a long trip.,2,P02,2.0
P02,2-3,7,Others usually know what is best for me.,6,P02,6.0
P02,2-3,8,I enjoy making my own decisions.,5,P02,5.0
P02,2-3,9,I enjoy having control over my own destiny.,5,P02,5.0
P02,2-3,10,I would rather someone else take over the leadership role when I am involved in a group project.,2,P02,2.0
P02,2-3,11,I consider myself to be generally more capable of handling situations than others are.,5,P02,5.0
P02,2-3,12,I would rather run my own business and make my own mistakes than listen to someone else's orders.,6,P02,6.0
P02,2-3,13,I like to get a good idea of what a job is all about before I begin.,6,P02,6.0
P02,2-3,14,When I see a problem I prefer to do something about it rather than sit by and let it continue.,6,P02,6.0
P02,2-3,15,When it comes to orders I would rather give them than receive them.,4,P02,4.0
P02,2-3,16,I wish I could push many of life's daily decisions off on someone else.,5,P02,5.0
P02,2-3,17,When driving I try to avoid putting myself in a situation where I could be hurt by another person's mistake.,5,P02,5.0
P02,2-3,18,I prefer to avoid situations where someone else has to tell me what it is I should be doing.,3,P02,3.0
P02,2-3,19,There are many situations in which I would prefer only one choice rather than having to make a decision.,6,P02,6.0
P02,2-3,20,I like to wait and see if someone else is going to solve a problem so that I do not have to be bothered with it.,5,P02,5.0
P03,2-3,1,I prefer a job where I have a lot of control over what I do and when I do it.,7-always applies,P03,7.0
P03,2-3,2,I enjoy political participation because I want to have as much of a say in running government as possible.,4,P03,4.0
P03,2-3,3,I try to avoid situations where someone else tells me what to do.,5,P03,5.0
P03,2-3,4,I would prefer to be a leader than a follower.,3,P03,3.0
P03,2-3,5,I enjoy being able to influence the actions of others.,3,P03,3.0
P03,2-3,6,I am careful to check everything on an automobile before I leave for a long trip.,7-always applies,P03,7.0
P03,2-3,7,Others usually know what is best for me.,2,P03,2.0
P03,2-3,8,I enjoy making my own decisions.,7-always applies,P03,7.0
P03,2-3,9,I enjoy having control over my own destiny.,7-always applies,P03,7.0
P03,2-3,10,I would rather someone else take over the leadership role when I am involved in a group project.,4,P03,4.0
P03,2-3,11,I consider myself to be generally more capable of handling situations than others are.,3,P03,3.0
P03,2-3,12,I would rather run my own business and make my own mistakes than listen to someone else's orders.,1-does not apply at all,P03,1.0
P03,2-3,13,I like to get a good idea of what a job is all about before I begin.,7-always applies,P03,7.0
P03,2-3,14,When I see a problem I prefer to do something about it rather than sit by and let it continue.,7-always applies,P03,7.0
P03,2-3,15,When it comes to orders I would rather give them than receive them.,3,P03,3.0
P03,2-3,16,I wish I could push many of life's daily decisions off on someone else.,1-does not apply at all,P03,1.0
P03,2-3,17,When driving I try to avoid putting myself in a situation where I could be hurt by another person's mistake.,7-always applies,P03,7.0
P03,2-3,18,I prefer to avoid situations where someone else has to tell me what it is I should be doing.,7-always applies,P03,7.0
P03,2-3,19,There are many situations in which I would prefer only one choice rather than having to make a decision.,4,P03,4.0
P03,2-3,20,I like to wait and see if someone else is going to solve a problem so that I do not have to be bothered with it.,1-does not apply at all,P03,1.0
P04,2-3,1,I prefer a job where I have a lot of control over what I do and when I do it.,5,P04,5.0
P04,2-3,2,I enjoy political participation because I want to have as much of a say in running government as possible.,5,P04,5.0
P04,2-3,3,I try to avoid situations where someone else tells me what to do.,4,P04,4.0
P04,2-3,4,I would prefer to be a leader than a follower.,4,P04,4.0
P04,2-3,5,I enjoy being able to influence the actions of others.,2,P04,2.0
P04,2-3,6,I am careful to check everything on an automobile before I leave for a long trip.,5,P04,5.0
P04,2-3,7,Others usually know what is best for me.,2,P04,2.0
P04,2-3,8,I enjoy making my own decisions.,5,P04,5.0
P04,2-3,9,I enjoy having control over my own destiny.,5,P04,5.0
P04,2-3,10,I would rather someone else take over the leadership role when I am involved in a group project.,4,P04,4.0
P04,2-3,11,I consider myself to be generally more capable of handling situations than others are.,4,P04,4.0
P04,2-3,12,I would rather run my own business and make my own mistakes than listen to someone else's orders.,3,P04,3.0
P04,2-3,13,I like to get a good idea of what a job is all about before I begin.,5,P04,5.0
P04,2-3,14,When I see a problem I prefer to do something about it rather than sit by and let it continue.,5,P04,5.0
P04,2-3,15,When it comes to orders I would rather give them than receive them.,4,P04,4.0
P04,2-3,16,I wish I could push many of life's daily decisions off on someone else.,5,P04,5.0
P04,2-3,17,When driving I try to avoid putting myself in a situation where I could be hurt by another person's mistake.,6,P04,6.0
P04,2-3,18,I prefer to avoid situations where someone else has to tell me what it is I should be doing.,5,P04,5.0
P04,2-3,19,There are many situations in which I would prefer only one choice rather than having to make a decision.,2,P04,2.0
P04,2-3,20,I like to wait and see if someone else is going to solve a problem so that I do not have to be bothered with it.,3,P04,3.0
P22,2-3,1,I prefer a job where I have a lot of control over what I do and when I do it.,6,P22,6.0
P22,2-3,2,I enjoy political participation because I want to have as much of a say in running government as possible.,4,P22,4.0
P22,2-3,3,I try to avoid situations where someone else tells me what to do.,4,P22,4.0
P22,2-3,4,I would prefer to be a leader than a follower.,4,P22,4.0
P22,2-3,5,I enjoy being able to influence the actions of others.,4,P22,4.0
P22,2-3,6,I am careful to check everything on an automobile before I leave for a long trip.,6,P22,6.0
P22,2-3,7,Others usually know what is best for me.,4,P22,4.0
P22,2-3,8,I enjoy making my own decisions.,5,P22,5.0
P22,2-3,9,I enjoy having control over my own destiny.,5,P22,5.0
P22,2-3,10,I would rather someone else take over the leadership role when I am involved in a group project.,6,P22,6.0
P22,2-3,11,I consider myself to be generally more capable of handling situations than others are.,5,P22,5.0
P22,2-3,12,I would rather run my own business and make my own mistakes than listen to someone else's orders.,4,P22,4.0
P22,2-3,13,I like to get a good idea of what a job is all about before I begin.,6,P22,6.0
P22,2-3,14,When I see a problem I prefer to do something about it rather than sit by and let it continue.,6,P22,6.0
P22,2-3,15,When it comes to orders I would rather give them than receive them.,4,P22,4.0
P22,2-3,16,I wish I could push many of life's daily decisions off on someone else.,4,P22,4.0
P22,2-3,17,When driving I try to avoid putting myself in a situation where I could be hurt by another person's mistake.,6,P22,6.0
P22,2-3,18,I prefer to avoid situations where someone else has to tell me what it is I should be doing.,5,P22,5.0
P22,2-3,19,There are many situations in which I would prefer only one choice rather than having to make a decision.,6,P22,6.0
P22,2-3,20,I like to wait and see if someone else is going to solve a problem so that I do not have to be bothered with it.,6,P22,6.0
P25,2-3,1,I prefer a job where I have a lot of control over what I do and when I do it.,6,P25,6.0
P25,2-3,2,I enjoy political participation because I want to have as much of a say in running government as possible.,3,P25,3.0
P25,2-3,3,I try to avoid situations where someone else tells me what to do.,4,P25,4.0
P25,2-3,4,I would prefer to be a leader than a follower.,4,P25,4.0
P25,2-3,5,I enjoy being able to influence the actions of others.,3,P25,3.0
P25,2-3,6,I am careful to check everything on an automobile before I leave for a long trip.,1-does not apply at all,P25,1.0
P25,2-3,7,Others usually know what is best for me.,3,P25,3.0
P25,2-3,8,I enjoy making my own decisions.,6,P25,6.0
P25,2-3,9,I enjoy having control over my own destiny.,6,P25,6.0
P25,2-3,10,I would rather someone else take over the leadership role when I am involved in a group project.,6,P25,6.0
P25,2-3,11,I consider myself to be generally more capable of handling situations than others are.,6,P25,6.0
P25,2-3,12,I would rather run my own business and make my own mistakes than listen to someone else's orders.,2,P25,2.0
P25,2-3,13,I like to get a good idea of what a job is all about before I begin.,5,P25,5.0
P25,2-3,14,When I see a problem I prefer to do something about it rather than sit by and let it continue.,7-always applies,P25,7.0
