participant_id,section,index,question,answer,pp,demo
P01,0-1,3,What is your highest level of education completed?,Master's degree,P01,
P01,0-1,4,How much experience do you have using VR?,Never,P01,
P01,0-1,5,How often have you used VR in the past 6 months?,Never,P01,
P02,0-1,1,What is your age? (in years),38,P06,38.0
P02,0-1,2,What is your gender?,Male,P06,
P02,0-1,3,What is your highest level of education completed?,Doctoral degree,P06,
P02,0-1,4,How much experience do you have using VR?,21+ times,P06,21.0
P02,0-1,5,How often have you used VR in the past 6 months?,3+ times a week,P06,3.0
P30,0-1,1,What is your age? (in years),26,P30,26.0
P30,0-1,2,What is your gender?,Male,P30,
P30,0-1,3,What is your highest level of education completed?,Master's degree,P30,
P30,0-1,4,How much experience do you have using VR?,1-5 times,P30,1.0
P30,0-1,5,How often have you used VR in the past 6 months?,Never,P30,
P09,0-1,1,What is your age? (in years),24,P09,24.0
P09,0-1,2,What is your gender?,Male,P09,
P09,0-1,3,What is your highest level of education completed?,Master's degree,P09,
P09,0-1,4,How much experience do you have using VR?,1-5 times,P09,1.0
P09,0-1,5,How often have you used VR in the past 6 months?,Never,P09,
P07,0-1,1,What is your age? (in years),28,P07,28.0
P07,0-1,2,What is your gender?,Female,P07,
P07,0-1,3,What is your highest level of education completed?,Master's degree,P07,
P07,0-1,4,How much experience do you have using VR?,21+ times,P07,21.0
P07,0-1,5,How often have you used VR in the past 6 months?,1-3 times a month,P07,1.0
